case_id,region,case_type,customer_type,created_date,backlog_days,resolution_days,sla_breach,resolved_date,escalated,month,seasonal_factor,complexity_score,case_notes
1000,Argentina,Documentation,Distributor,2026-01-30,9.0,10.0,True,2026-02-09,1,1,1,2,Customer is requesting urgent update
1001,Colombia,Order Delay,End Customer,2026-02-20,,,False,,0,2,1,1,Customer is requesting urgent update
1002,Brazil,Order Delay,End Customer,2026-01-01,10.0,10.0,True,2026-01-11,1,1,1,2,Pricing discrepancy identified
1003,Colombia,Pricing Issue,End Customer,2026-01-07,,,False,,0,1,1,1,Awaiting internal approval
1004,Colombia,Order Delay,Distributor,2026-03-10,,,False,,0,3,3,2,Delay due to logistics issue
1005,Chile,Documentation,End Customer,2026-01-06,5.0,6.0,False,2026-01-12,0,1,1,2,Delay due to logistics issue
1006,Brazil,Order Delay,End Customer,2026-01-19,10.0,11.0,True,2026-01-30,1,1,1,2,Pricing discrepancy identified
1007,Brazil,Documentation,Distributor,2026-02-03,6.0,8.0,True,2026-02-11,0,2,1,3,Customer is requesting urgent update
1008,Brazil,Order Delay,Distributor,2026-01-23,8.0,8.0,True,2026-01-31,0,1,1,4,Pricing discrepancy identified
1009,Colombia,Technical Support,End Customer,2026-02-21,,,False,,0,2,1,3,Customer is requesting urgent update
1010,Argentina,Order Delay,End Customer,2026-01-09,8.0,10.0,True,2026-01-19,0,1,1,1,Customer is requesting urgent update
1011,Brazil,Pricing Issue,Distributor,2026-02-05,9.0,10.0,True,2026-02-15,0,2,1,4,Pricing discrepancy identified
1012,Perú,Documentation,Distributor,2026-03-20,,,False,,0,3,3,3,Awaiting internal approval
1013,Colombia,Order Delay,End Customer,2026-02-02,,,False,,0,2,1,2,Pricing discrepancy identified
1014,Chile,Technical Support,Distributor,2026-01-12,5.0,5.0,False,2026-01-17,0,1,1,3,Customer escalated the issue
1015,Argentina,Pricing Issue,Distributor,2026-01-27,7.0,9.0,True,2026-02-05,1,1,1,3,Awaiting internal approval
1016,Perú,Technical Support,End Customer,2026-01-11,,,False,,0,1,1,1,Customer is requesting urgent update
1017,Perú,Pricing Issue,Distributor,2026-02-11,,,False,,0,2,1,2,Pricing discrepancy identified
1018,Chile,Technical Support,Distributor,2026-03-02,8.0,7.0,False,2026-03-09,0,3,3,2,Pricing discrepancy identified
1019,Argentina,Technical Support,End Customer,2026-03-05,11.0,11.0,True,2026-03-16,1,3,3,1,Awaiting internal approval
1020,Colombia,Documentation,End Customer,2026-02-19,,,False,,0,2,1,2,Awaiting internal approval
1021,México,Technical Support,Distributor,2026-01-06,,,False,,0,1,1,4,Pricing discrepancy identified
1022,Argentina,Pricing Issue,Distributor,2026-01-27,9.0,9.0,True,2026-02-05,1,1,1,4,Customer escalated the issue
1023,Chile,Technical Support,Distributor,2026-02-04,4.0,4.0,False,2026-02-08,0,2,1,2,Delay due to logistics issue
1024,Perú,Documentation,End Customer,2026-02-11,,,False,,0,2,1,2,Customer is requesting urgent update
1025,Colombia,Technical Support,Distributor,2026-03-13,,,False,,0,3,3,2,Delay due to logistics issue
1026,Argentina,Documentation,Distributor,2026-01-05,8.0,8.0,True,2026-01-13,0,1,1,4,Customer is requesting urgent update
1027,México,Documentation,End Customer,2026-03-10,,,False,,0,3,3,3,Customer escalated the issue
1028,México,Pricing Issue,Distributor,2026-01-09,,,False,,0,1,1,2,Delay due to logistics issue
1029,Brazil,Technical Support,End Customer,2026-02-15,10.0,11.0,True,2026-02-26,0,2,1,1,Delay due to logistics issue
1030,Brazil,Pricing Issue,End Customer,2026-03-20,9.0,9.0,True,2026-03-29,1,3,3,3,Delay due to logistics issue
1031,Chile,Documentation,End Customer,2026-03-24,7.0,6.0,False,2026-03-30,1,3,3,2,Pricing discrepancy identified
1032,Argentina,Pricing Issue,End Customer,2026-01-11,6.0,8.0,True,2026-01-19,0,1,1,3,Customer escalated the issue
1033,Argentina,Pricing Issue,Distributor,2026-03-06,8.0,7.0,False,2026-03-13,0,3,3,4,Customer is requesting urgent update
1034,Perú,Documentation,End Customer,2026-03-21,,,False,,0,3,3,1,Customer is requesting urgent update
1035,Perú,Documentation,Distributor,2026-02-12,,,False,,0,2,1,4,Awaiting internal approval
1036,Perú,Pricing Issue,Distributor,2026-02-07,,,False,,0,2,1,3,Customer is requesting urgent update
1037,Brazil,Technical Support,End Customer,2026-03-03,12.0,12.0,True,2026-03-15,0,3,3,2,Pricing discrepancy identified
1038,Argentina,Documentation,End Customer,2026-02-27,6.0,7.0,False,2026-03-06,0,2,1,1,Awaiting internal approval
1039,Argentina,Documentation,End Customer,2026-03-08,11.0,9.0,True,2026-03-17,0,3,3,3,Delay due to logistics issue
1040,México,Technical Support,Distributor,2026-02-07,,,False,,0,2,1,4,Customer escalated the issue
1041,Brazil,Order Delay,Distributor,2026-03-21,10.0,9.0,True,2026-03-30,1,3,3,4,Customer is requesting urgent update
1042,Colombia,Documentation,Distributor,2026-02-23,,,False,,0,2,1,3,Customer escalated the issue
1043,Brazil,Order Delay,Distributor,2026-02-10,10.0,12.0,True,2026-02-22,1,2,1,4,Customer escalated the issue
1044,Colombia,Technical Support,End Customer,2026-01-10,,,False,,0,1,1,1,Awaiting internal approval
1045,México,Technical Support,Distributor,2026-03-19,,,False,,0,3,3,4,Customer escalated the issue
1046,Chile,Technical Support,Distributor,2026-01-15,5.0,5.0,False,2026-01-20,0,1,1,4,Customer escalated the issue
1047,Argentina,Technical Support,End Customer,2026-02-28,7.0,9.0,True,2026-03-09,0,2,1,3,Pricing discrepancy identified
1048,México,Pricing Issue,End Customer,2026-03-21,,,False,,0,3,3,3,Customer escalated the issue
1049,Argentina,Pricing Issue,End Customer,2026-02-13,6.0,8.0,True,2026-02-21,0,2,1,2,Pricing discrepancy identified
1050,Perú,Order Delay,Distributor,2026-03-17,,,False,,0,3,3,4,Customer escalated the issue
1051,Chile,Technical Support,End Customer,2026-01-29,4.0,6.0,False,2026-02-04,0,1,1,2,Awaiting internal approval
1052,Chile,Order Delay,End Customer,2026-02-28,7.0,9.0,True,2026-03-09,1,2,1,1,Customer is requesting urgent update
1053,México,Order Delay,Distributor,2026-03-28,,,False,,0,3,3,2,Pricing discrepancy identified
1054,Chile,Technical Support,Distributor,2026-03-18,10.0,10.0,True,2026-03-28,0,3,3,2,Customer is requesting urgent update
1055,Colombia,Order Delay,Distributor,2026-02-22,,,False,,0,2,1,2,Delay due to logistics issue
1056,Chile,Order Delay,End Customer,2026-01-01,6.0,7.0,False,2026-01-08,0,1,1,3,Pricing discrepancy identified
1057,Argentina,Order Delay,Distributor,2026-01-11,7.0,8.0,True,2026-01-19,0,1,1,3,Delay due to logistics issue
