seed,l1_staff,l2_staff,arrivals,served,avg_wait_min,p95_wait_min,util_l1,fcr,reopen,voc_mean,sla_2min
12345,8,4,2420,2179,552.0421193824011,3700.8426589555465,0.4314102312109891,0.7751262046810463,0.013767783386874713,3.4746062522435053,0.04130335016062414
12346,8,4,2433,2196,511.10050740758254,3547.01378417597,0.42283374265077056,0.7636612021857924,0.017304189435336976,3.4517994985508955,0.0546448087431694
12347,8,4,2396,2193,597.5332999073274,3744.312942335275,0.4141250174694113,0.736890104879161,0.022799817601459188,3.414243718292086,0.04742362061103511
12348,8,4,2441,2209,515.0257958139118,3131.173418549622,0.43446127022437225,0.7464916251697601,0.01765504753282028,3.4136484621340437,0.04436396559529199
12349,8,4,2319,2044,551.0651448546772,3463.951641165,0.40015101896568805,0.7431506849315068,0.020058708414872797,3.3947303365425663,0.03816046966731898
12350,8,4,2422,2151,541.7410385757422,3395.899955295669,0.42957351424308565,0.7568572756857276,0.025569502556950254,3.4159360162159484,0.040446304044630406
12351,8,4,2358,2080,580.2095328828101,3921.5581274284464,0.41963481143858505,0.7615384615384615,0.017788461538461538,3.432796617754252,0.04326923076923077
12352,8,4,2379,2119,571.4434072367706,3410.1212364591074,0.4165392481744424,0.7187352524775837,0.020292590844738084,3.347913139861672,0.0438886267107126
12353,8,4,2379,2133,577.4850288979866,3696.9953115509616,0.41132037637419544,0.7782466010314112,0.02062822315986873,3.4598808706434174,0.040787623066104076
12354,8,4,2319,2145,554.9027648655806,3306.4180333386225,0.40898800372933986,0.765034965034965,0.01724941724941725,3.4635021751015853,0.046153846153846156
12355,8,4,2312,2114,568.7079969939015,3728.21106346124,0.40052320232040306,0.7715231788079471,0.016556291390728478,3.4698802615815256,0.04966887417218543
12356,8,4,2388,2141,560.371609801055,3590.046631443298,0.4139040561936569,0.7571228397944886,0.01821578701541336,3.431621560681225,0.04624007473143391
12357,8,4,2220,2065,595.5503445248819,3728.813996007474,0.39384665572350636,0.7380145278450363,0.01646489104116223,3.4228753848692897,0.05714285714285714
12358,8,4,2368,2168,526.4649800515641,3335.6574647100924,0.4289494706693729,0.7541512915129152,0.021678966789667898,3.447957368138355,0.04474169741697417
12359,8,4,2322,2132,497.01870983114,3301.56090045753,0.4054846337322874,0.7593808630393997,0.017354596622889306,3.4667777997249205,0.04643527204502814
12360,8,4,2312,2086,528.322596225515,3579.7453548494996,0.39683853422085774,0.7718120805369127,0.016299137104506232,3.4811897385442614,0.04697986577181208
12361,8,4,2432,2175,490.3607013656458,3004.537656190611,0.42620593304084226,0.7471264367816092,0.01793103448275862,3.417492554290562,0.0496551724137931
12362,8,4,2305,2090,507.8528026720702,3274.4531269254776,0.4100677530917391,0.7866028708133971,0.015311004784688996,3.4981157783119423,0.05215311004784689
12363,8,4,2321,2118,507.18682112574464,3480.6102845166465,0.4121537322780208,0.7842304060434372,0.017469310670443813,3.485468291277483,0.049575070821529746
12364,8,4,2331,2138,581.8758208640846,3886.350122442477,0.40268490677860974,0.7605238540692236,0.019644527595884004,3.447228795169543,0.050046772684752105
12365,8,4,2385,2180,478.0992610868064,3302.8686829113876,0.4339114882036683,0.791743119266055,0.012385321100917432,3.486665156307613,0.055504587155963306
